npatlas_id	smiles
NPA000123	CCCCCCCCCC(=O)O[C@@H]1[C@@H](O)[C@@]2(CCCC(OC(C)=O)C(C)C/C=C/c3ccccc3)O[C@H](C(=O)O)[C@@](O)(C(=O)O)[C@]1(C(=O)O)O2
NPA033564	CC(=O)O[C@@H]1CC(=O)OC(C)(C)[C@H]2CC[C@@]3(C)[C@@H](CC=C(C)[C@]34C[C@]3(OC(C)=C(C)C3=O)C(=O)O4)[C@@]21C
NPA033551	CC1(C)OC(=O)C=C[C@@]2(C)[C@H]1CC[C@@]13C[C@@]4(C)C[C@@H]5C(=O)OC[C@]51[C@@](C)(C[C@@H]23)C4=O
NPA033550	CC1(C)OC(=O)C=C[C@@]2(C)[C@H]1CC[C@@]13C[C@@]4(C)C=C5C(=O)OC[C@]51[C@@](C)(C[C@@H]23)C4=O
NPA033549	CC1(C)OC(=O)C=C[C@@]2(C)[C@H]1CC[C@]13C[C@]4(C)C(=O)[C@](C)(C[C@@H]21)[C@]31COC(=O)[C@H]1[C@H]4O
NPA033542	CC(/C=C/C=C(\C)[C@H](O)[C@H](C)C(=O)O[C@H]1C[C@H](C)C=C2C=C[C@@](C)(O)[C@](C)(C(=O)CCO)[C@H]21)=C\C=C\C(=O)O
NPA033527	CC(C)=CC(O)=N/C=C/C(C)=C\[C@@H](C)[C@H]1C/C(C)=C/C=C/CC[C@H](OC(=N)O)[C@@H](O)/C=C/[C@@H](O)CCC/C=C/C(=O)O1
NPA033526	C=C(C)CC(O)=N/C=C/C(C)=C/[C@@H](C)[C@H]1C/C(C)=C/C=C/CC[C@H](OC(=N)O)[C@@H](O)/C=C/[C@@H](O)CCC/C=C/C(=O)O1
NPA033525	C/C(C=O)=C\[C@@H](C)[C@H]1C/C(C)=C/C=C/CC[C@H](OC(=N)O)[C@@H](O)/C=C/[C@@H](O)CCC/C=C/C(=O)O1
NPA033524	C=C(C)C/C(C)=C\C(O)=N/C=C/C(C)=C/[C@@H](C)[C@H]1C/C(C)=C/C=C/CC[C@H](OC(=N)O)[C@@H](O)/C=C/[C@@H](O)CCC/C=C/C(=O)O1
NPA033521	CC(C)=CC(O)=N/C=C/C(C)=C/[C@@H](C)[C@H]1C/C(C)=C/C=C/CC[C@H](OC(=N)O)[C@@H](O)/C=C/[C@@H](O)CCC/C=C/C(=O)O1
NPA033446	COc1cccc2c1C(=O)c1ccc3c(c1C2=O)C(=O)CC(C)C3O
NPA033445	COc1cccc2c1C(=O)c1ccc3c(c1C2=O)C(O)CC(C)C3OC(=O)C(C)C
NPA033320	CCCCCCCc1c(O)cc(CC=C(C)C)c(O)c1C=O
NPA033173	CC(=O)O[C@H]1[C@@H](C)C(=O)O[C@H]2[C@H](C)[C@@H](O)[C@H](C)O[C@@]21C
NPA033044	C/C=C(\C)[C@@H](O)[C@@]1(C)[C@@H]2C(C)=CC(C)=C[C@]2(C)[C@@H]1/C(C)=C/[C@]1(C)[C@H]2OC(=O)[C@]1(C)C(=O)[C@@H]2C
NPA032950	CCCCCCC1=C(C)C(=O)OC1=O
NPA032923	C=C/C(C)=C/C1(CC)SC(=O)C(CC)=C1O
NPA032832	CCC1OC(=O)C(C)C(=O)C(C)C(OC2OC(C)C(O)C(N(C)C)C2O)C(C)CC(C)C(=O)/C=C/C1C
NPA032829	CC1CC(O)=NC(CCCN(O)C=O)C(O)C(C)C(O)=NC(C(C)O)C(O)=NC(CCCN)C(O)=NC(CO)C(O)=NC(C(O)C(=O)O)C(=O)O1
NPA032828	CC1CC(O)=NC(CCCN(O)C=O)C(O)C(C)C(O)=NC(C(C)O)C(O)=NC(CCCNO)C(O)=NC(CO)C(O)=NC(C(O)C(=O)O)C(=O)O1
NPA032827	CC1CC(O)=NC(CCCN(O)C=O)C(O)CC(O)=NC(C(C)O)C(O)=NC(CCCN)C(O)=NC(CO)C(O)=NC(C(O)C(=O)O)C(=O)O1
NPA032826	CC1CC(O)=NC(CCCN(O)C=O)C(O)CC(O)=NC(C(C)O)C(O)=NC(CCCNO)C(O)=NC(CO)C(O)=NC(C(O)C(=O)O)C(=O)O1
NPA032785	CC(/C=C/C=C(\C)[C@H](O)[C@H](C)C(=O)O[C@H]1C[C@H](C)C=C2C=C[C@@]3(C)O[C@@H](O)CC(=O)[C@]3(C)[C@H]21)=C\C=C\C(=O)O
NPA032771	CO[C@@H]1[C@@H](OC)[C@H](C)[C@@](O)(CC(=O)O)O[C@H]1[C@H](C)[C@H]1O[C@@]2(CC[C@@](C)([C@H]3CC[C@@](C)([C@@H]4O[C@@H]([C@H]5O[C@](C)(O)[C@H](C)C[C@@H]5C)C[C@@H]4O[C@@H]4C[C@H](OC)[C@@H](OC)[C@H](C)O4)O3)O2)C[C@H](O)[C@H]1C
NPA032761	CO[C@H]1CC[C@H](O[C@H]2[C@H](C)[C@@H]([C@H]3CC[C@H]([C@@H]4CC[C@H]([C@@]5(C)O[C@]6(O[C@H](C[C@@H]7O[C@](O)([C@@H](O)C(=O)O)[C@@H](C)[C@H](OC)[C@@]7(C)OC)C[C@@H](OC)[C@H]6C)[C@H](C)[C@H]5OC)O4)O3)O[C@](C)(O)[C@@H]2C)O[C@@H]1C
NPA032753	CCCCCC1CC2=C(CC(O)(CCCC)CC3=C1C(=O)OC3=O)C(=O)OC2=O
NPA032750	CC(=CC(=O)O)C=C(C)CC(C)CCCCC1OC(=O)C1CO
NPA032748	CCCCC[C@@H](O)[C@H]1C(=O)O[C@H](C)[C@@H](O)/C=C/C=C/C=C/C=C/C=C(\C)[C@@H](O)C[C@H](O)C[C@H](O)C[C@H](O)C[C@H](O)C[C@H](O)C[C@@H]1O
NPA032743	CCCCC1CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC3OC3C=CC(=O)O1)CC(O)C2C(=O)O
NPA032738	Cc1cc(O)c2c(O)c3c(O)cc(=O)c(-c4c(=O)cc(O)c5c(O)c6c(O)cc(C)oc6cc45)c3cc2o1
NPA032733	COc1cc(C)c(C(=O)Oc2cc(C)c(C(=O)O)c(O)c2C)c(O)c1CO
NPA032732	COc1cc(C)c(C(=O)Oc2cc(C)c(C(=O)O)c(O)c2C)c(O)c1C
NPA032731	COC(=O)c1c(C)cc(OC(=O)c2c(C)cc(O)c(C=O)c2O)c(C)c1OC
NPA032730	COc1cc(C)c(C(=O)Oc2cc(C)c(C(=O)O)c(O)c2C)c(OC)c1C
NPA032724	COc1cc(O)c2c(c1)C(=O)c1cc(C)c(O)cc1C2=O
NPA032721	C[C@H]1CCC/C=C\[C@H](O)C(O)C(O)[C@H](O)/C=C/C(=O)O1
NPA032720	C[C@H]1CCC/C=C/[C@@H](O)[C@H]2O[C@H]2[C@@H](O)C=CC(=O)O1
NPA032718	CC(C)=CCc1c(O)cc(O)c2c1CC(=O)OC2C
NPA032717	CCCC1=C/C(=C/C[C@H](O)CO)OC1=O
NPA032715	CC(=O)O[C@@H]1[C@@H]2C(=O)c3c(C)cc(O)c4c3C1(COC4=O)C1=C2c2c(C)cc(O)c3c2C(O)(COC3=O)C1=O
NPA032714	Cc1cc(O)c2c3c1C1=C(C(=O)C3(O)COC2=O)C23COC(=O)c4c(O)cc(C)c(c42)C(=O)[C@H]1[C@H]3O
NPA032713	C[C@@H](O)C[C@@H]1CC(=O)c2c(O)cc(O)cc2CC(=O)O1
NPA032712	C/C=C(\C)c1cc(=O)c2c(C)cc3c(c2o1)C(=O)c1c(ccc([C@H]2C[C@](C)(N(C)C)[C@H](OC(C)=O)[C@H](C)O2)c1O)C3=O
NPA032711	C/C=C\C1OC1(C)c1cc(=O)c2c(C)cc3c(c2o1)C(=O)c1c(O)cccc1C3=O
NPA032710	C/C=C/C1OC1(C)c1cc(=O)c2c(C)cc3c(c2o1)C(=O)c1c(ccc(C2CC(C)(N(C)C)C(OC(C)=O)C(C)O2)c1O)C3=O
NPA032709	CC[C@@H]1[C@H](O)[C@H](C)[C@@H]([C@@H](C)[C@H](O)[C@H](C)C(=O)[C@H](CC)[C@H]2O[C@](C)([C@]3(O)O[C@@](CC)([C@@H](O)CC)C[C@H]3C)C[C@@H]2C)O[C@@]1(O)CC(=O)O
NPA032708	COc1cc(OC)c2c(=O)c3c(c4c2c1oc1cc(=O)c2c(O)c5c(OC)cc(C)cc5c(=O)c2c14)CC(C)(O)CC=3O
NPA032707	CCC(C)C(=O)OC1CCC=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21
NPA032705	COC(=O)C(O)(c1cc2c(c3oc(C4(C)OC4C)cc(=O)c13)C(=O)c1c(ccc(C3CC(C)(N(C)C)C(OC4CC(OC)C(O)C(C)O4)C(C)O3)c1O)C2=O)C1CC(OC)C(O)C(C)O1
NPA032704	CNC1(C)CC(c2ccc3c(c2O)C(=O)c2c(cc(C(O)(C(=O)OC)C4CC(OC)C(O)C(C)O4)c4c(=O)cc(C5(C)OC5C)oc24)C3=O)OC(C)C1OC1CC(OC)C(O)C(C)O1
NPA032703	COC(=O)C(O)(c1cc2c(c3oc(C4(C)OC4C)cc(=O)c13)C(=O)c1c(ccc([C@@H]3C[C@@](C)(N(C)C)[C@H](O[C@H]4C[C@H](OC)[C@@H](O)[C@@H](C)O4)[C@H](C)O3)c1O)C2=O)[C@H]1O[C@@H](C)[C@@H](O)[C@@H](OC)[C@H]1O
NPA032702	CNC1(C)CC(c2ccc3c(c2O)C(=O)c2c(cc(C(O)(C(=O)OC)C4OC(C)C(O)C(OC)C4O)c4c(=O)cc(C5(C)OC5C)oc24)C3=O)OC(C)C1OC1CC(OC)C(O)C(C)O1
NPA032701	CC1=CC(=O)C2(O)C(O)(CCC3(SC[C@H](N=C(C)O)C(=O)O)C(=O)c4c(O)cccc4C(=O)C32O)C1
NPA032700	CC(O)CCCCCC(O)C1C=CC(=O)O1
NPA032695	CCCC[C@@H](C)[C@@H](OC(=O)C[C@@H](CC(=O)O)C(=O)O)[C@H](C[C@@H](C)C[C@H](O)CCCC[C@@H](O)C[C@H](O)CN)OC(=O)C[C@@H](CC(=O)O)C(=O)O
NPA032694	COc1cc(O)c2c(c1)C(=O)c1cc(C)c(O)c(-c3c(OC)cc4c(c3O)C(=O)C3=C(C4=O)C(O)C(C)(O)C(O)C3O)c1C2=O
NPA032693	COc1cc2oc3c(c(=O)c2cc1OC)C(=O)c1c(ccc2cc4c(c(O)c12)C(=O)N1C(C)(C4)OC(=O)C1(C)CO)C3=O
NPA032692	COc1cc2oc3c(c(=O)c2cc1O)C(=O)c1c(ccc2cc4c(c(O)c12)C(=O)N1C(C)(C4)OC(=O)C1(C)COC(=O)CC(C)C)C3=O
NPA032691	COc1cc2oc3c(c(=O)c2cc1OC)C(=O)c1c(ccc2cc4c(c(O)c12)C(=O)N1C(C)(C4)OC(=O)C1(C)COC(C)=O)C3=O
NPA032690	COc1cc2oc3c(c(=O)c2cc1OC)C(=O)c1c(ccc2cc4c(c(O)c12)C(=O)N1C(C)(C4)OC(=O)C1(C)COC(=O)C(C)C)C3=O
NPA032688	CC[C@@H]1C=C[C@H](O)[C@H](C)OC(=O)/C(C)=C/[C@@H]2C(=O)NC3=CC(=O)c4c(cc(C)c(O)c4C(=O)CC1)[C@@]32O
NPA032687	CC[C@@H]1C=C[C@H](O)[C@H](C)OC(=O)/C(C)=C\[C@@H]2C(=O)NC3=CC(=O)c4c(cc(C)c(O)c4C(=O)CC1)[C@@]32O
NPA032686	C/C=C\C(=O)c1c(OC)cc(=O)oc1C
NPA032685	C/C=C\Cc1c(OC)cc(=O)oc1C
NPA032683	COc1cc(OC)c2c(c1)C(=O)C1=C(C2=O)c2c(OC)cc3c(c2OC(=O)C[C@](C)(O)C1)C(=O)c1c(O)cc(C)cc1C3=O
NPA032682	COc1cc(OC)c2c(O)c3c(cc2c1)C[C@@](C)(O)CC(=O)Oc1c2c(cc(OC)c1-3)C(=O)c1cc(C)cc(O)c1C2=O
NPA032681	CC1=CCCC(C)C(O)C(C)C(O)CCC=CC(C)C(O)C=CC(C)C(O)C(C)=CC(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)C(O)CC(O)CC(O)CC(O)C(C)C(O)C(C)C(O)CC(O)CC(O)C=CCC(C(C)C2CCC(=O)O2)OC1=O
NPA032680	C/C=C/C(O)c1c(OC)cc(=O)oc1C
NPA032679	CCCC[C@H]1C(=O)O[C@@H](C)[C@@H]1O
NPA032678	COC(=O)C(O)(c1cc2c(c3oc(C4(C)OC4C)cc(=O)c13)C(=O)c1c(ccc([C@H]3C[C@](C)(N)[C@H](O[C@@H]4C[C@H](OC)[C@H](O)[C@@H](C)O4)[C@H](C)O3)c1O)C2=O)[C@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@@H]1O
NPA032677	COC(=O)C(O)(c1cc2c(c3oc(C4(C)OC4C)cc(=O)c13)C(=O)c1c(ccc(C3CC(C)(N)C(OC4CC(OC)C(O)C(C)O4)C(C)O3)c1O)C2=O)C1OC(C)C(O)C(OC)C1O
NPA032676	COC(=O)C(c1cc2c(c3oc(C4(C)OC4C)cc(=O)c13)C(=O)c1c(ccc(C3CC(C)(N(C)C)C(OC4CC(OC)C(O)C(C)O4)C(C)O3)c1O)C2=O)C1OC(C)C(O)C(OC)C1O
NPA032675	COc1cc(OC)c2c(O)c3c(c(-c4c5c(c(O)c6c(OC)cc(OC)cc46)CO[C@@H](C)[C@H]5OC(C)=O)c2c1)C[C@H](C)OC3
NPA032674	COc1cc(OC)c2c(O)c3c(c(-c4c(OC)cc(OC)c5c(O)c6c(cc45)C(O)C(C)OC6)c2c1)CC(C)OC3
NPA032673	COc1cc(OC)c2c(O)c3c(c(-c4c5c(c(O)c6c(OC)cc(OC)cc46)COC(C)C5)c2c1)CC(C)OC3
NPA032672	COc1cc(OC)c2c(O)c3c(c(-c4c5c(c(O)c6c(OC)cc(OC)cc46)COC(C)C5O)c2c1)CC(C)OC3
NPA032671	COc1cc(OC)c2c(O)c3c(c(-c4c5c(c(O)c6c(OC)cc(OC)cc46)COC(C)C5O)c2c1)C(O)C(C)OC3
NPA032670	COc1cc(OC)c2c(O)c3c(c(-c4c5c(c(O)c6c(OC)cc(OC)cc46)COC(C)C5OC(C)=O)c2c1)C(O)C(C)OC3
NPA032669	COc1cc(OC)c2c(O)c3c(c(-c4c5c(c(O)c6c(OC)cc(OC)cc46)COC(C)C5OC(C)=O)c2c1)C(OC(C)=O)C(C)OC3
NPA032668	Cc1cc(O)c2c3c(ccc2c1)C(=O)c1c(O[C@H]2C[C@@H](O)[C@H](O[C@H]4C[C@@H](O[C@H]5CC[C@H](O[C@H]6C[C@@H](O)[C@H](O[C@H]7C[C@@H](O)[C@H](O)[C@@H](C)O7)[C@@H](C)O6)[C@H](C)O5)[C@H](O)[C@@H](C)O4)[C@@H](C)O2)cccc1C3=O
NPA032664	C[C@@H]1O[C@@H](O[C@H]2[C@H](O)C[C@H](c3ccc4c(c3O)C(=O)c3ccc(CC(C)(CC(=O)O)O[C@H]5CC[C@H](O[C@H]6CC[C@@H](O)[C@H](C)O6)[C@H](C)O5)c(O)c3C4=O)O[C@@H]2C)CC[C@H]1O
NPA032658	C/C=C(\C)C(OC(C)=O)C(C)c1cc(O)c2c(c1O)O[C@]1(C)CC[C@H]3O[C@@H](C(C)(C)O)C[C@H](O)[C@]3(C)[C@H]1C2=O
NPA032657	CC=C(C)C(OC(C)=O)C(C)C1=CC(=O)C2=C(O[C@]3(C)CC[C@H]4O[C@@H](C(C)(C)O)C[C@H](O)[C@]4(C)[C@H]3[C@@H]2O)C1(O)CC(C)=O
