npaid	smiles
NPA000001	CC[C@H](C)[C@@H](CO)NC(=O)/C=C/[C@](C)([C@H]([C@@H](C)C[C@@H](CC)O)O)OC
NPA000008	CCC(=O)[C@H](C)[C@H]([C@@H](C)C(=O)CC/C(=C\CC(/C(=C/C1=CSC(=N1)C)/C)O)/C)O
NPA000012	CC[C@@H](C)C[C@@H](C)/C=C/[C@@H]1C=C[C@H]([C@H]2[C@@]13C([C@](O2)(OC3=O)C)O)O
NPA000013	CC(=CCOC1=CC=C(C=C1)CC(C(=O)O)NC(=O)C)C
NPA000014	C[C@@H]1CC(=C(C1=O)C)/C=C(\C)/C=C/C=C/C=C/C=C(\C)/C(=O)C
NPA000027	CC(C)C[C@H]1C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N1)C(C)C)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C
NPA000028	CCCC1=C(C(=C(C=C1)O)O)C(=O)NOC
NPA000032	CC(C)C[C@H]1C(=O)N2C[C@@H](C[C@@H]2C(=O)N1)O
NPA000036	CCCCCCC[C@@H](C(C)(C)C(=O)N[C@H]1CCCCN(C1=O)O)OC(=O)[C@@H](CCCCN(C=O)O)NC(=O)C2=C(OC(=N2)C3=CC=CC=C3O)C
NPA000037	CC1C(=O)N(C2(C1(C(CC(C)C(/C=C/C=C/CNC(=O)C(C)(C)C(/C(=C\C=C/C=C/C(=C(\C)/[N+](=O)[O-])/C)/C)O)O)OC)O)C(OC2=O)C)C
NPA000041	C/C=C/C=C(/C=O)\[C@H]([C@H](/C=C\C)O)O
NPA000045	COC1=C(C2=CC=CC=C2C(=C1)O)N=O
NPA000053	CCC(=O)N[C@@H](C(C)C)C(=O)N[C@H]1[C@H](OC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]2CCCN2C(=O)[C@H](NC1=O)CC3=CC=CC=C3)C(C)C)C(C)C)C(C)C)C
NPA000054	CC=C1C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](CC(=O)N[C@H](C(=O)N[C@H]([C@@H](C(=O)N[C@H](CCC(=O)N1)C(=O)O)C)/C=C/C(=C/[C@H](C)[C@H](CC2=CC=CC=C2)OC(=O)C)/C)CCCN=C(N)N)C(=O)O)CCCN=C(N)N)C
NPA000055	C1CC(C(=O)N(C1)O)NC(=O)CCNC(=O)C(CCCN(C=O)O)NC(=O)C(CO)NC(=O)C2COC(=N2)C3=CC=CC=C3O
NPA000059	CC(=CCCC1(C(O1)CC/C(=C/COC[C@@H]2[C@H]([C@H]([C@@H](O2)N3CCC(=O)NC3=O)O)O)/C)C)C
NPA000064	C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](CC/C=C/C(=O)NC2=CC(=CC(=C2)C1)O)OC)OC(=O)N)\C)C)O)OC
NPA000070	CC(=CCOC1=CC=C(C=C1)CCO)C
NPA000072	COC1=C(C=CC(=C1O)C(=O)N)O
NPA000074	CCCCCCC[C@@H]1CC(=O)N[C@H](C(=O)N[C@H](C(=O)NC(C(=O)N[C@@H](C(=O)NC(C(=O)N(C(C(=O)N[C@@H](C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)NC(C(=O)N[C@H](C(=O)N1)C(C)O)CC(C)C)[C@@H](C)O)[C@H](C(=O)N)O)[C@@H](C)CC)C)CCC(=O)N)C(C(C)C)O)C)[C@H](C(C)C)O)C(C)C
NPA000080	C/C=C(\C)/C=C(\C)/C(C(C)/C=C(\C)/C=C/C/C(=C/CC1=C(C(=O)C=C(N1)OC)C)/C)O
NPA000081	C[C@H]1CC(=O)OC(C(/C=C/C(=O)O[C@H]([C@@H](/C=C/C(=O)O1)O)C)O)C
NPA000083	CC1C(C=CC=CC=CCCCC(C(=CC=CCC(OC(=O)CC1=C)CCC(=CC=C)C)C)OP(=O)(O)O)O
NPA000084	C[C@H]1CO[C@@]2([C@@H]1C)C[C@H]3C4=C(O2)C5=C([C@@H]6[C@@H]([C@]57COC(=O)C8=C(C=C(C(=C78)C6=O)C)O)OC(=O)C)C9=C4C(=C(C=C9C)O)C(=O)O3
NPA000085	CC(=O)C=CC1=C(C(=O)OC1)C=CCO
NPA000092	C/C=C/CC/C=C/C1=C(C=C(C(=C1C=O)O)CC=C(C)C)O
NPA000094	C[C@H]1C(=C(C(=O)O1)C)C(=O)O
NPA000098	CC(=O)CCCC[C@@H]([C@@H]1CCC2=C(O1)CC[C@@H](C2=O)O)O
NPA000105	C[C@H]1CCC[C@@H]2[C@@H](O2)C[C@H](OC(=O)C[C@@H](C(C(=O)[C@@H]([C@H]1O)C)(C)C)O)/C(=C/C3=CSC(=N3)CO)/C
NPA000110	CC/C(=C(\C(=O)O)/NC(=O)C1C(CCN1C(=O)C(C(C(CN=C(N)N)O)Cl)NC(=O)C2=CC(=C(C=C2)OC)C3=C(C=NC4=CC=CC=C43)C(=C)C)(C)O)/C
NPA000112	CC1=CN=C(C2=C1[C@H](CC2)O)C3=C(C=CC(=C3)O)O
NPA000113	CC/C(=C/C(C)C/C=C/C(=C/C(C)C(=O)C(C)C1C(CC(O1)(C)CCO)C)/C)/C=C/C2C(C=CC(=O)O2)C
NPA000116	CC1=CC=CC2=C(C=C(C=C12)OC)C(=O)NCC3(C(C(=O)OC4(O3)C(OC(=C(C=O)C(=O)C)NC4=O)C(C5CN5C(=O)C)O)O)C
NPA000118	C[C@H]1[C@H](C/C=C\C=C/C=C[C@@H](CC(=O)NC2=CC(=O)C=C(C2=O)CC/C=C(\[C@@H]1O)/C)OC)OC(=O)C3(CC3)NC(=O)C4CCCCC4
NPA000119	CC[C@H](C)[C@H]1C(=O)N(CC(=O)N2[C@@H](C[C@@]3([C@H]2N(C4=CC=CC=C43)O)O)C(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N(CC(=O)N([C@H](C(=O)N([C@H](C(=O)N(C(C(=O)N[C@H](C(=O)N1C)C(C)C)O)C)[C@@H](C)C(C)O)C)C(C)(C)O)C)C)C(C)C)C)C(C)C)C)C(C)CC)C(C)C)C)C
